asset_id,PC1,PC2,PC3,PC4,PC5,status,usage
BTA_7_4_02_2030,0.28717769625763734,-0.15038305784334483,0.21226205239090185,-0.21541408022199876,-0.23204959098816647,OK,PCA_DIAGNOSTIC_ONLY
BTA_7_5_12_2028,0.3037138822865717,-0.14771119432974245,0.14700296930968906,-0.12143590453859764,-0.11776186459846576,OK,PCA_DIAGNOSTIC_ONLY
EMPRUNT_NATIONAL_2021_2EME_TRANCHE,0.29862929399775323,-0.1382360938278104,-0.10857886118273287,0.20325174372986793,0.1981321672571048,OK,PCA_DIAGNOSTIC_ONLY
EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.2977014773606713,-0.15854057221585588,0.17691070411799487,-0.1663184578008182,-0.1838502104839932,OK,PCA_DIAGNOSTIC_ONLY
EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.2783620499670872,-0.1529787206565586,0.20688059015081595,-0.21349430676635855,-0.2473272631500836,OK,PCA_DIAGNOSTIC_ONLY
TN0007310568,0.28861035018341447,0.008737717575167956,-0.1729784813274155,0.23715337769132452,0.2503297166234934,OK,PCA_DIAGNOSTIC_ONLY
TN0003100872,0.04733827527368687,-0.582802564785707,-0.06959530760807722,0.2022568596172542,0.1933214968829321,OK,PCA_DIAGNOSTIC_ONLY
TNHFN9X6ARP3,0.3051855525449979,0.09803034769003068,-0.12879141714637762,0.14252153702786388,0.14046553835716297,OK,PCA_DIAGNOSTIC_ONLY
TN8DSPQCBC06,0.30969045928513295,0.1745804633601849,-0.08760292413403838,0.0992269603534448,0.14039338832683348,OK,PCA_DIAGNOSTIC_ONLY
TNL7VQZVHR54,0.3169768562592942,0.12991227792805823,-0.05602699387486311,0.0599931021845329,0.11081322059311126,OK,PCA_DIAGNOSTIC_ONLY
TNYGOCQ2WZX6,0.3202702461109816,0.14505245872638411,-0.039861782435708336,0.045414098408603144,0.06915247666427987,OK,PCA_DIAGNOSTIC_ONLY
TNDE9EH7SA12,-0.01296720353353989,-0.6057213705622957,0.02028725490664403,0.08846557785230952,0.10160588374935828,OK,PCA_DIAGNOSTIC_ONLY
EO_ATL_2025_2,0.29518121113319806,0.22831329981466203,0.06991206971274909,-0.13227212198736676,-0.08713890646515389,OK,PCA_DIAGNOSTIC_ONLY
AMEN_BANK,-0.021014205965742824,0.10282003630000057,0.3766375301732535,0.4028724132100012,0.1259028199975676,OK,PCA_DIAGNOSTIC_ONLY
ATTIJARI_BANK,-0.04396389739929764,0.003422622877835621,0.5195292502780435,0.2862442542145533,0.022718695216268445,OK,PCA_DIAGNOSTIC_ONLY
BIAT,-0.03211384719996483,0.08015971046408245,0.5158513258099761,0.08767545863051161,0.10573748311930707,OK,PCA_DIAGNOSTIC_ONLY
BT,-0.006628664135663293,0.03204954657435042,0.08734262124996131,-0.12574535721376015,0.4851907135442592,OK,PCA_DIAGNOSTIC_ONLY
CITY_CARS,0.02126934133719702,0.14432902145469367,-0.0930611507307051,0.3232132933452039,-0.269350993116031,OK,PCA_DIAGNOSTIC_ONLY
DELICE_HOLDING,0.007233399110800863,0.08146154690854716,0.2391551520201691,0.12774243029942536,0.06175327331762033,OK,PCA_DIAGNOSTIC_ONLY
ENNAKL,0.030868180619202778,-0.010171890493093074,-0.1539312568318117,0.3972165050074966,-0.3384692425564264,OK,PCA_DIAGNOSTIC_ONLY
PGH,-0.012565008159021934,0.07447518538597578,0.05784974317839912,-0.34597514560021153,0.4119666561320434,OK,PCA_DIAGNOSTIC_ONLY
