maturity_years,PC1,PC2,PC3,status,usage
0.0027397260273972,-0.054006969247000325,0.029085195877785745,0.8459932486655563,OK,PCA_DIAGNOSTIC_ONLY
1.0,0.02648808575773783,-0.4064300352381219,0.46021990585807604,OK,PCA_DIAGNOSTIC_ONLY
2.0,0.00898383622239635,-0.4817175406832455,0.059411485296284344,OK,PCA_DIAGNOSTIC_ONLY
3.0,-0.05295923585364065,-0.47002196623236797,-0.08871565547380666,OK,PCA_DIAGNOSTIC_ONLY
4.0,-0.13145856393693442,-0.406765589389858,-0.1379640207561835,OK,PCA_DIAGNOSTIC_ONLY
5.0,-0.19610645720341527,-0.3001517767958248,-0.12959436750202852,OK,PCA_DIAGNOSTIC_ONLY
6.0,-0.23191820181644135,-0.1931116786479321,-0.09756812748294197,OK,PCA_DIAGNOSTIC_ONLY
7.0,-0.24737708740589176,-0.11095346055924941,-0.06528060778481345,OK,PCA_DIAGNOSTIC_ONLY
8.0,-0.253112640025758,-0.053248246953046384,-0.039620911498409364,OK,PCA_DIAGNOSTIC_ONLY
9.0,-0.25477152947399523,-0.012926396681940348,-0.020409025542899684,OK,PCA_DIAGNOSTIC_ONLY
10.0,-0.2547887373106988,0.015918452854494027,-0.006079436943444852,OK,PCA_DIAGNOSTIC_ONLY
11.0,-0.25417327722495087,0.03718801498466817,0.004765299304108864,OK,PCA_DIAGNOSTIC_ONLY
12.0,-0.25334543760408673,0.05334335179008584,0.013138382236668559,OK,PCA_DIAGNOSTIC_ONLY
13.0,-0.2524809095871313,0.06594609520653644,0.019738162399898243,OK,PCA_DIAGNOSTIC_ONLY
14.0,-0.2516512662745607,0.0760095177568729,0.02504295348667232,OK,PCA_DIAGNOSTIC_ONLY
15.0,-0.25088284562786856,0.08420892846094677,0.029383481482847952,OK,PCA_DIAGNOSTIC_ONLY
16.0,-0.2501822296943966,0.0910066859283697,0.03299200354482223,OK,PCA_DIAGNOSTIC_ONLY
17.0,-0.2495475709945587,0.0967275360822922,0.03603453963524093,OK,PCA_DIAGNOSTIC_ONLY
18.0,-0.24897371351108777,0.10160501510303473,0.038631937160728234,OK,PCA_DIAGNOSTIC_ONLY
19.0,-0.24845451216557904,0.10581072314418868,0.04087373870419703,OK,PCA_DIAGNOSTIC_ONLY
20.0,-0.24798385963405578,0.1094732381546933,0.042827424981094236,OK,PCA_DIAGNOSTIC_ONLY
