asset_id,asset_name,asset_type,asset_class,expected_return_annualized,volatility_APT_asset,historical_return_annualized,apt_minus_historical_return,abs_gap_apt_vs_historical,rf_annual
BTA_7_4_02_2030,"BTA 7,4% 02/2030",government_bond,Titres de l'État,0.1009740899935449,0.008773688372075532,0.1175816238830853,-0.016607533889540393,0.016607533889540393,0.07640772357723578
BTA_7_5_12_2028,"BTA 7,5% 12/2028",government_bond,Titres de l'État,0.1001010179874856,0.006769399345150948,0.1144661033769187,-0.01436508538943311,0.01436508538943311,0.07640772357723578
EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,government_bond,Titres de l'État,0.0993974682539016,0.0027188350731975606,0.1033541487259994,-0.003956680472097809,0.003956680472097809,0.07640772357723578
EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,government_bond,Titres de l'État,0.1006436171456841,0.006592013671686477,0.1129596536371726,-0.012316036491488505,0.012316036491488505,0.07640772357723578
EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,government_bond,Titres de l'État,0.1015078516453722,0.008394112468468105,0.1163440008677969,-0.01483614922242471,0.01483614922242471,0.07640772357723578
TN0007310568,E.O HL 2020-03,corporate_bond,Obligations corporate,0.1098957124439403,0.0026326517239784646,0.1028774099867957,0.00701830245714459,0.00701830245714459,0.07640772357723578
TN0003100872,EO BNA SUB 2021-1,corporate_bond,Obligations corporate,0.1080204054515946,0.002131395612681998,0.1014659344281263,0.006554471023468289,0.006554471023468289,0.07640772357723578
TNHFN9X6ARP3,EO ADVANS 2022-1,corporate_bond,Obligations corporate,0.1121363956468567,0.0034245341514346776,0.1134492873638179,-0.0013128917169611953,0.0013128917169611953,0.07640772357723578
TN8DSPQCBC06,EO ATL 2022-1,corporate_bond,Obligations corporate,0.1110678369931649,0.003799797331833405,0.1111100661293869,-4.2229136221996755e-05,4.2229136221996755e-05,0.07640772357723578
TNL7VQZVHR54,EO HL 2023-1,corporate_bond,Obligations corporate,0.1114326859861219,0.005066664036836371,0.1148464960507908,-0.0034138100646688985,0.0034138100646688985,0.07640772357723578
TNYGOCQ2WZX6,EO BH LEASING 2023-1,corporate_bond,Obligations corporate,0.1113410043064729,0.00426508048605682,0.1136264495820253,-0.0022854452755523974,0.0022854452755523974,0.07640772357723578
TNDE9EH7SA12,EO AB SUB 2023-2,corporate_bond,Obligations corporate,0.1104295944639806,0.005885886191743668,0.1317248192428559,-0.0212952247788753,0.0212952247788753,0.07640772357723578
EO_ATL_2025_2,EO ATL 2025-2,corporate_bond,Obligations corporate,0.1129300049769689,0.009495752169545386,0.1250643868998826,-0.012134381922913717,0.012134381922913717,0.07640772357723578
AMEN_BANK,AMEN BANK,listed_equity,Actions cotées,0.127058531822587,0.15482754539361668,0.3806486537833435,-0.2535901219607565,0.2535901219607565,0.07640772357723578
ATTIJARI_BANK,ATTIJARI BANK,listed_equity,Actions cotées,0.1390350152885544,0.2277513249804902,0.5713359881643552,-0.43230097287580077,0.43230097287580077,0.07640772357723578
BIAT,BIAT,listed_equity,Actions cotées,0.1276958003527117,0.12541061098041348,0.1869420553572023,-0.0592462550044906,0.0592462550044906,0.07640772357723578
BT,BT,listed_equity,Actions cotées,0.1609785633898522,0.22960976843871786,0.2393335812166237,-0.07835501782677151,0.07835501782677151,0.07640772357723578
CITY_CARS,CITY CARS,listed_equity,Actions cotées,0.1360263550624783,0.20083155107276512,0.5094132321397848,-0.37338687707730656,0.37338687707730656,0.07640772357723578
DELICE_HOLDING,DELICE HOLDING,listed_equity,Actions cotées,0.1432126740078307,0.27338738845539157,0.638635854846989,-0.4954231808391584,0.4954231808391584,0.07640772357723578
ENNAKL,ENNAKL,listed_equity,Actions cotées,0.0537969969692463,0.21928757765521595,0.4224113514104621,-0.3686143544412158,0.3686143544412158,0.07640772357723578
PGH,PGH,listed_equity,Actions cotées,0.1056902693436765,0.29379873262876516,1.2085089246241694,-1.1028186552804928,1.1028186552804928,0.07640772357723578
