portfolio_name,cumulative_return,annualized_return_realized,annualized_volatility_realized,realized_sharpe,downside_deviation_realized,var_loss_95_realized,cvar_loss_95_realized,max_drawdown_realized,best_period,worst_period,positive_periods_ratio,hit_ratio_vs_current,tracking_error_vs_current,information_ratio_vs_current,RETURN_FREQUENCY,PERIODS_PER_YEAR,BACKTEST_DATA_FREQUENCY,BACKTEST_PERIODS_PER_YEAR,observations_used,nb_observations,final_quality_flag
Current_Portfolio,0.16940843358859814,0.1738806241486599,0.013111320748291144,6.621109919608957,0.008542920268447675,0.0004991421556087309,0.001023067671388748,-0.002806828030925468,0.0036381989640311132,-0.0028068280309254635,0.8455284552845529,,,,daily,252,daily,252,246,246,SAME_SAMPLE_BACKTEST|NO_TRANSACTION_COSTS_INCLUDED|INDICATIVE_BACKTEST_ONLY|FREQUENCY_INFERRED_DAILY|SHORT_HISTORY_WARNING
Minimum_Variance,0.141673208248291,0.14536858800249552,0.01004709195644411,6.1881803034672,0.006952599883811843,0.0003463929759203348,0.0007833188927784872,-0.002017943901301944,0.0028009347673609154,-0.0020179439013020754,0.8658536585365854,0.483739837398374,0.00657441816910191,-3.747598445971643,daily,252,daily,252,246,246,SAME_SAMPLE_BACKTEST|NO_TRANSACTION_COSTS_INCLUDED|INDICATIVE_BACKTEST_ONLY|FREQUENCY_INFERRED_DAILY|SHORT_HISTORY_WARNING
Max_Sharpe,0.14378274226757481,0.14753661759640302,0.010110931070339713,6.3363066358379285,0.00706245973512167,0.00033541621878642404,0.0008147476031531919,-0.001960341064687565,0.0028900765506904807,-0.0019603410646877057,0.8658536585365854,0.5203252032520326,0.006256355746289789,-3.6355886961320296,daily,252,daily,252,246,246,SAME_SAMPLE_BACKTEST|NO_TRANSACTION_COSTS_INCLUDED|INDICATIVE_BACKTEST_ONLY|FREQUENCY_INFERRED_DAILY|SHORT_HISTORY_WARNING
Max_Return,0.20555450571788803,0.2110637856079074,0.025862897636864696,4.572748195099137,0.013156743584846262,0.001705752373473164,0.0024243672264845388,-0.009971483755646493,0.006405697523149991,-0.004536767788336929,0.6869918699186992,0.491869918699187,0.02310836672172135,1.3611097228155198,daily,252,daily,252,246,246,SAME_SAMPLE_BACKTEST|NO_TRANSACTION_COSTS_INCLUDED|INDICATIVE_BACKTEST_ONLY|FREQUENCY_INFERRED_DAILY|SHORT_HISTORY_WARNING
Mean_CVaR_95,0.16404169496805854,0.16836227408062188,0.010650382541643834,7.705583347680508,0.004888066426052686,0.00021353283550589396,0.0005027289888268357,-0.0016459498196537137,0.003096832957910228,-0.0016459498196535534,0.8577235772357723,0.508130081300813,0.006951689390561918,-0.6824363460208942,daily,252,daily,252,246,246,SAME_SAMPLE_BACKTEST|NO_TRANSACTION_COSTS_INCLUDED|INDICATIVE_BACKTEST_ONLY|FREQUENCY_INFERRED_DAILY|SHORT_HISTORY_WARNING
Risk_Parity,0.15345600211228105,0.1574793549620097,0.01112011788854389,6.538471677136751,0.007392285589393398,0.00040300139012244753,0.0008781601193162843,-0.0019375021173237972,0.003430447710159876,-0.0019375021173236983,0.8495934959349594,0.4959349593495935,0.006947356573186779,-2.029969220156238,daily,252,daily,252,246,246,SAME_SAMPLE_BACKTEST|NO_TRANSACTION_COSTS_INCLUDED|INDICATIVE_BACKTEST_ONLY|FREQUENCY_INFERRED_DAILY|SHORT_HISTORY_WARNING
MultiCriteria_Recommended_Portfolio,0.16404169496805854,0.16836227408062188,0.010650382541643834,7.705583347680508,0.004888066426052686,0.00021353283550589396,0.0005027289888268357,-0.0016459498196537137,0.003096832957910228,-0.0016459498196535534,0.8577235772357723,0.508130081300813,0.006951689390561918,-0.6824363460208942,daily,252,daily,252,246,246,SAME_SAMPLE_BACKTEST|NO_TRANSACTION_COSTS_INCLUDED|INDICATIVE_BACKTEST_ONLY|FREQUENCY_INFERRED_DAILY|SHORT_HISTORY_WARNING
Monte_Carlo_Best_Sharpe,0.16362812023960194,0.16793704149838917,0.01218377672094623,6.70732881871836,0.007966260678272385,0.0004814059211946261,0.0009650259577490031,-0.002404769066065904,0.003222511090657629,-0.0023866642482927736,0.8495934959349594,0.483739837398374,0.003725239146478622,-1.3665965980372032,daily,252,daily,252,246,246,SAME_SAMPLE_BACKTEST|NO_TRANSACTION_COSTS_INCLUDED|INDICATIVE_BACKTEST_ONLY|FREQUENCY_INFERRED_DAILY|SHORT_HISTORY_WARNING
Monte_Carlo_Min_Variance,0.16362812023960194,0.16793704149838917,0.01218377672094623,6.70732881871836,0.007966260678272385,0.0004814059211946261,0.0009650259577490031,-0.002404769066065904,0.003222511090657629,-0.0023866642482927736,0.8495934959349594,0.483739837398374,0.003725239146478622,-1.3665965980372032,daily,252,daily,252,246,246,SAME_SAMPLE_BACKTEST|NO_TRANSACTION_COSTS_INCLUDED|INDICATIVE_BACKTEST_ONLY|FREQUENCY_INFERRED_DAILY|SHORT_HISTORY_WARNING
