portfolio_name,expected_return_APT,volatility_APT,nearest_frontier_return,nearest_frontier_volatility,volatility_gap,status,comment
Current_Portfolio,0.10682570287532459,0.015453869795174114,0.1068257109564505,0.008821097667398269,0.006632772127775846,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
Minimum_Variance,0.10668878819737185,0.008820214552000428,0.1066961909886313,0.00882017976628299,3.4785717438479136e-08,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
Mean_Variance_lambda_2,0.11442939710478697,0.03094780140493151,0.11442939710179528,0.030947790991668635,1.0413262873515405e-08,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
Mean_Variance_lambda_5,0.11428939576085405,0.029321734767614974,0.11428939579480067,0.029321742158617412,-7.391002438544847e-09,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
Mean_Variance_lambda_10,0.11385028723217616,0.027560031108203407,0.11385028733391589,0.027560044129694337,-1.3021490930659185e-08,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
Mean_Variance_lambda_20,0.11043364871687333,0.01612056567047702,0.11043364912668434,0.016120611662875255,-4.599239823363521e-08,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
Max_Return,0.1146329819788659,0.03504926493021656,0.11463298193896355,0.035049264236159075,6.94057485095545e-10,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
MeanVariance_TurnoverPenalty,0.1117906434138571,0.027565809902706684,0.11179064345587748,0.020483620296410467,0.007082189606296217,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
Mean_CVaR_95,0.10908140836535977,0.013718193157095217,0.10908140838460903,0.012203218243094767,0.0015149749140004505,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
Max_Sharpe,0.10722531257610492,0.00884266539373672,0.10722531900332018,0.008842748845212259,-8.345147553892596e-08,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
Risk_Parity,0.10743129350197658,0.010852554566155949,0.10743129452770694,0.008978208589630842,0.0018743459765251068,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
Monte_Carlo_Max_Sharpe,0.10702235733025167,0.013576003134828821,0.10702236603669278,0.008825747726995063,0.004750255407833758,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
Monte_Carlo_Min_Volatility,0.10702235733025167,0.013576003134828821,0.10702236603669278,0.008825747726995063,0.004750255407833758,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
Monte_Carlo_Max_Return,0.10906001547065293,0.021984485403342163,0.10906001548782983,0.012147203772933582,0.009837281630408581,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
MultiCriteria_Recommended_Portfolio,0.10908140836535977,0.013718193157095217,0.10908140838460903,0.012203218243094767,0.0015149749140004505,OK,Cohérent avec la frontière validée ou dans la tolérance numérique.
