portfolio_name,expected_return_annualized,volatility_annualized,sharpe_ratio,var_loss_95,cvar_loss_95,max_drawdown,turnover,high_sharpe_flag,low_volatility_flag,zero_tail_risk_flag,interpretation
Current_Portfolio,0.10682570287532459,0.015453869795174114,1.9683082426116747,0.0004991421556087309,0.001023067671388748,-0.002806828030925468,0.0,False,False,False,Aucun signal de plausibilité critique selon les seuils retenus.
Minimum_Variance,0.10668878819737185,0.008820214552000428,3.433143767831397,0.0003463929759203348,0.0007833188927784872,-0.002017943901301944,0.29999956800021194,True,False,False,Sharpe élevé ou volatilité très faible : revue économique complémentaire nécessaire.
Mean_Variance_lambda_2,0.11442939710478697,0.03094780140493151,1.228574302583332,0.0011969683471333803,0.0020489143322121616,-0.005349586916657212,0.2999999699787914,False,False,False,Aucun signal de plausibilité critique selon les seuils retenus.
Mean_Variance_lambda_5,0.11428939576085405,0.029321734767614974,1.2919314796291486,0.000906224408403693,0.0018217498004244605,-0.00426178425664181,0.29999999335089617,False,False,False,Aucun signal de plausibilité critique selon les seuils retenus.
Mean_Variance_lambda_10,0.11385028723217616,0.027560031108203407,1.3585820534068764,0.0008509902029213759,0.0016583092880216197,-0.00375579571373863,0.2999999731214063,False,False,False,Aucun signal de plausibilité critique selon les seuils retenus.
Mean_Variance_lambda_20,0.11043364871687333,0.01612056567047702,2.110715333144429,0.00035481378274738047,0.0008806518122639767,-0.0016739069549266405,0.29999995925021716,False,False,False,Aucun signal de plausibilité critique selon les seuils retenus.
Max_Return,0.1146329819788659,0.03504926493021656,1.090615123533603,0.001705752373473164,0.0024243672264845388,-0.009971483755646493,0.2999999944119817,False,False,False,Aucun signal de plausibilité critique selon les seuils retenus.
MeanVariance_TurnoverPenalty,0.1117906434138571,0.027565809902706684,1.2835799115464068,0.0008402261211354737,0.0017096780306262434,-0.004416389641721419,0.2335350181968292,False,False,False,Aucun signal de plausibilité critique selon les seuils retenus.
Mean_CVaR_95,0.10908140836535977,0.013718193157095217,2.3817775718681116,0.00021353283550589396,0.0005027289888268357,-0.0016459498196537137,0.2999999876666527,False,False,False,Aucun signal de plausibilité critique selon les seuils retenus.
Max_Sharpe,0.10722531257610492,0.00884266539373672,3.4851017907674424,0.00033541621878642404,0.0008147476031531919,-0.001960341064687565,0.29999999950410816,True,False,False,Sharpe élevé ou volatilité très faible : revue économique complémentaire nécessaire.
Risk_Parity,0.10743129350197658,0.010852554566155949,2.8586421506221984,0.00040300139012244753,0.0008781601193162843,-0.0019375021173237972,0.29999999999999993,False,False,False,Aucun signal de plausibilité critique selon les seuils retenus.
Monte_Carlo_Max_Sharpe,0.10702235733025167,0.013576003134828821,2.255055000280236,0.0004814059211946261,0.0009650259577490031,-0.002404769066065904,0.26626571333096516,False,False,False,Aucun signal de plausibilité critique selon les seuils retenus.
Monte_Carlo_Min_Volatility,0.10702235733025167,0.013576003134828821,2.255055000280236,0.0004814059211946261,0.0009650259577490031,-0.002404769066065904,0.26626571333096516,False,False,False,Aucun signal de plausibilité critique selon les seuils retenus.
Monte_Carlo_Max_Return,0.10906001547065293,0.021984485403342163,1.4852424923465901,0.0008609025357394575,0.0015569054288998468,-0.006531437835928466,0.299909746027158,False,False,False,Aucun signal de plausibilité critique selon les seuils retenus.
MultiCriteria_Recommended_Portfolio,0.10908140836535977,0.013718193157095217,2.3817775718681116,0.00021353283550589396,0.0005027289888268357,-0.0016459498196537137,0.2999999876666527,False,False,False,Aucun signal de plausibilité critique selon les seuils retenus.
