portfolio_name,VaR_95_period_loss,CVaR_95_period_loss,VaR_95_daily_loss,CVaR_95_daily_loss,RETURN_FREQUENCY,PERIODS_PER_YEAR,calculation_horizon,sign_convention,formula_var,formula_cvar
Current_Portfolio,0.0004991421556087309,0.001023067671388748,0.0004991421556087309,0.001023067671388748,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
Minimum_Variance,0.0003463929759203348,0.0007833188927784872,0.0003463929759203348,0.0007833188927784872,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
Mean_Variance_lambda_2,0.0011969683471333803,0.0020489143322121616,0.0011969683471333803,0.0020489143322121616,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
Mean_Variance_lambda_5,0.000906224408403693,0.0018217498004244605,0.000906224408403693,0.0018217498004244605,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
Mean_Variance_lambda_10,0.0008509902029213759,0.0016583092880216197,0.0008509902029213759,0.0016583092880216197,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
Mean_Variance_lambda_20,0.00035481378274738047,0.0008806518122639767,0.00035481378274738047,0.0008806518122639767,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
Max_Return,0.001705752373473164,0.0024243672264845388,0.001705752373473164,0.0024243672264845388,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
MeanVariance_TurnoverPenalty,0.0008402261211354737,0.0017096780306262434,0.0008402261211354737,0.0017096780306262434,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
Mean_CVaR_95,0.00021353283550589396,0.0005027289888268357,0.00021353283550589396,0.0005027289888268357,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
Max_Sharpe,0.00033541621878642404,0.0008147476031531919,0.00033541621878642404,0.0008147476031531919,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
Risk_Parity,0.00040300139012244753,0.0008781601193162843,0.00040300139012244753,0.0008781601193162843,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
Monte_Carlo_Max_Sharpe,0.0004814059211946261,0.0009650259577490031,0.0004814059211946261,0.0009650259577490031,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
Monte_Carlo_Min_Volatility,0.0004814059211946261,0.0009650259577490031,0.0004814059211946261,0.0009650259577490031,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
Monte_Carlo_Max_Return,0.0008609025357394575,0.0015569054288998468,0.0008609025357394575,0.0015569054288998468,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
MultiCriteria_Recommended_Portfolio,0.00021353283550589396,0.0005027289888268357,0.00021353283550589396,0.0005027289888268357,daily,252,daily_historical_returns,positive_loss,"VaR_95_daily_loss = -quantile(period_returns, 5%)",CVaR_95_daily_loss = -mean(period_returns <= quantile_5%)
