asset_name,Current_Portfolio,Minimum_Variance,Mean_Variance_lambda_2,Mean_Variance_lambda_5,Mean_Variance_lambda_10,Mean_Variance_lambda_20,Max_Sharpe,Max_Return,Mean_CVaR_95,Risk_Parity,MeanVariance_TurnoverPenalty,MultiCriteria_Recommended_Portfolio
EO HL 2023-1,0.416767509097986,0.2999999915257558,0.2999999983698189,0.30000000001921323,0.29999999953528544,0.2999999992278951,0.3000000000108762,0.29999999972297353,0.2999999997785018,0.3,0.30000000004719996,0.2999999997785018
"BTA 7,4% 02/2030",0.09810891836124348,0.0981111877075414,0.09810889772059486,0.09810891809013701,0.09810892319239843,0.09810892159796417,0.09810893283983058,0.0981089100800685,0.09810892002950994,0.13389678425917773,0.09810891837702879,0.09810892002950994
EMPRUNT NATIONAL 2021 2ème tranche,0.08741742590554248,0.08742171243563651,0.08741723354287227,0.08741742556678017,0.08741742990803494,0.0874174287214395,0.08741742503225024,0.0813864018405517,0.08741742735953315,0.0874176191376825,0.08741742591981108,0.08741742735953315
"BTA 7,5% 12/2028",0.06829597420544005,0.06829792534582707,0.06829592276459251,0.06829597390596981,0.06829597843715456,0.06829597713668689,0.06829642077439722,0.06829597219709824,0.06829597573256771,0.07543892572138297,0.06829597422039141,0.06829597573256771
EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,0.049683755619931644,0.04982506312774231,0.049683741152396925,0.04968375538401371,0.049683760782531075,0.0496837590707177,0.049683756274724336,0.049683749405772935,0.049683757398890575,0.07979761745874227,0.04968375563649993,0.049683757398890575
PGH,0.04485895590375774,0.012551959864676911,0.03882823325301651,0.0388279054642219,0.03882790703450538,0.030249514655523717,0.013617030074918579,0.04485895511472091,0.036800944785449693,0.014736011300559211,0.04485895590517355,0.036800944785449693
EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,0.04384954789740244,0.04386140427805434,0.04384952094458468,0.04384954760089892,0.04384955249645197,0.04384955097669565,0.043849659669658876,0.04384953850972766,0.04384954951769748,0.04385344912235694,0.04384954791311202,0.04384954951769748
EO ATL 2025-2,0.032034754731809625,0.0320392732440644,0.03203475398917658,0.032034755034278745,0.032036186949692125,0.12167107964681685,0.032035035716929165,0.03203475463008445,0.07082221367964917,0.07648263628130929,0.03203475476284064,0.07082221367964917
EO ADVANS 2022-1,0.028663436991747625,0.040393848112612964,0.028663436022069184,0.028663437247307327,0.028663703825437037,0.028663444329593092,0.17862078769752823,0.028663436860734,0.02866365776872361,0.02866652202495905,0.02866343702187312,0.02866365776872361
ENNAKL,0.027201435798298826,0.026276747244038275,0.0,8.29197920750339e-11,7.669548548501065e-09,0.008578407291515188,0.025210910433882544,2.2564336700030075e-10,0.0020269646619568535,0.024368207036070254,0.027201435750670282,0.0020269646619568535
AMEN BANK,0.021284820422600416,0.02128481390039393,0.02128482342366717,0.02128482207279467,0.021285060470927344,0.021284831557419073,0.02128481091058667,0.021284820668965723,0.02128481868668142,0.021327205333351553,0.021284820465493726,0.02128481868668142
EO BNA SUB 2021-1,0.019033921010505616,0.1097354423141644,0.019033918475133003,0.019033921056710475,0.019033938639443616,0.01903393100181317,0.019033937906005303,0.019033920601099708,0.019033926921616928,0.019049605221496718,0.019033921035912487,0.019033926921616928
ATTIJARI BANK,0.016268993644244212,0.01626842213958029,0.01626909136117768,0.016269027450550096,0.01626901041678717,0.016268998966051752,0.016268982694385578,0.016268994847226482,0.016268993275590237,0.016005119265662216,0.016268993774870042,0.016268993275590237
E.O HL 2020-03,0.00997065925830081,0.05736902467597536,0.009970657554507998,0.009970659353312502,0.00997069292592211,0.009970675210214714,0.009983412186664535,0.009970658998411252,0.00997066823629241,0.0100226212198626,0.009970659287524317,0.00997066823629241
EO BH LEASING 2023-1,0.00978296471188841,0.00978506270132461,0.009782963510743948,0.009782964870472356,0.009783045878976021,0.009782979213093712,0.009783377183219966,0.009782964535321815,0.009782982743794974,0.009800196491600192,0.009782964743009152,0.009782982743794974
EO ATL 2022-1,0.008434788786385707,0.00843557982856497,0.008434787497360048,0.008434788925593831,0.008434851124838626,0.00843480367501645,0.00844921134780161,0.008434788592747645,0.008434803656153119,0.008422345628380866,0.008434788817365278,0.008434803656153119
BIAT,0.006709687228526206,0.006709700508543297,0.006709690749864259,0.006709688825252429,0.023014290780162757,0.007222395416073141,0.006709683226050121,0.006709687516084041,0.00670968707390706,0.013549506468286263,0.0067096872550995714,0.00670968707390706
EO AB SUB 2023-2,0.0061743504717015054,0.006174673434706306,0.006174348965678824,0.006174350571051504,0.006174387799667614,0.006174363854166416,0.006188540201651236,0.00617435023099535,0.0932838463707573,0.00634957843259697,0.006174350502101875,0.0932838463707573
DELICE HOLDING,0.0042553072149080036,0.004255303407244054,0.05240840230643677,0.032926967281745274,0.0240677504812785,0.011044555653014449,0.004255301393702537,0.07545696413745787,0.004255307512301961,0.008844650985885034,0.021928684344695158,0.004255307512301961
CITY CARS,0.001067390040554901,0.001067454954390189,0.024115838588536158,0.04359735011874897,0.04575085335698177,0.02257235993522098,0.0010673857710413277,0.0010673905032235443,0.017354760068943834,0.013981810605207444,0.021363183688198017,0.017354760068943834
BT,0.00013540269722430012,0.00013540924916267638,0.07893373980777171,0.07893374107802723,0.06933266829397487,0.031692022863068284,0.00013539865389529816,0.0789337407810912,0.007950794741480796,0.007989588005430034,0.07893374053112966,0.007950794741480796
